	code	market	name	sector
1413	005820	KOSPI	원림	직물직조 및 직물제품 제조업
1414	053080	KOSDAQ	원방테크	일반 목적용 기계 제조업
1415	032940	KOSDAQ	원익	기계장비 및 관련 물품 도매업
1416	240810	KOSDAQ	원익IPS	특수 목적용 기계 제조업
1417	074600	KOSDAQ	원익QnC	유리 및 유리제품 제조업
1418	104830	KOSDAQ	원익머트리얼즈	기초 화학물질 제조업
1419	014190	KOSDAQ	원익큐브	기타 전문 도매업
1420	030530	KOSDAQ	원익홀딩스	기타 금융업
1421	012620	KOSDAQ	원일특강	1차 철강 제조업
1422	008370	KOSDAQ	원풍	플라스틱제품 제조업
1423	008290	KOSDAQ	원풍물산	봉제의복 제조업
1424	101160	KOSDAQ	월덱스	전자부품 제조업
1425	095270	KOSDAQ	웨이브일렉트로	"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1426	010600	KOSPI	웰바이오텍	상품 중개업
1427	065950	KOSDAQ	웰크론	직물직조 및 직물제품 제조업
1428	076080	KOSDAQ	웰크론한텍	건물 건설업
1429	196700	KOSDAQ	웹스	합성고무 및 플라스틱 물질 제조업
1430	069080	KOSDAQ	웹젠	소프트웨어 개발 및 공급업
1431	053580	KOSDAQ	웹케시	소프트웨어 개발 및 공급업
1432	071460	KOSDAQ	위니아딤채	가정용 기기 제조업
1433	044340	KOSDAQ	위닉스	가정용 기기 제조업
1434	330350	KOSDAQ	위더스제약	의약품 제조업
1435	348350	KOSDAQ	위드텍  측정	", 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1436	112040	KOSDAQ	위메이드	소프트웨어 개발 및 공급업
1437	065370	KOSDAQ	위세아이텍	소프트웨어 개발 및 공급업
1438	038620	KOSDAQ	위즈코프	연료 소매업
1439	299900	KOSDAQ	위지윅스튜디오	"영화, 비디오물, 방송프로그램 제작 및 배급업"
1440	036090	KOSDAQ	위지트	특수 목적용 기계 제조업
1441	136540	KOSDAQ	윈스	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1442	320000	KOSDAQ	윈텍	특수 목적용 기계 제조업
1443	097800	KOSDAQ	윈팩	반도체 제조업
1444	192390	KOSDAQ	윈하이텍	"구조용 금속제품, 탱크 및 증기발생기 제조업"
1445	313760	KOSDAQ	윌링스	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1446	008600	KOSPI	윌비스	생활용품 도매업
1447	900340	KOSDAQ	윙입푸드	기타 금융업
1448	033270	KOSPI	유나이티드제약	의약품 제조업
1449	014830	KOSPI	유니드	기초 화학물질 제조업
1450	036200	KOSDAQ	유니셈	특수 목적용 기계 제조업
1451	018000	KOSDAQ	유니슨	일반 목적용 기계 제조업
1452	000910	KOSPI	유니온	"시멘트, 석회, 플라스터 및 그 제품 제조업"
1453	047400	KOSPI	유니온머티리얼	"내화, 비내화 요업제품 제조업"
1454	203450	KOSDAQ	유니온커뮤니티	통신 및 방송 장비 제조업
1455	011330	KOSPI	유니켐	"가죽, 가방 및 유사제품 제조업"
1456	077500	KOSPI	유니퀘스트	기계장비 및 관련 물품 도매업
1457	011320	KOSDAQ	유니크	자동차 신품 부품 제조업
1458	086390	KOSDAQ	유니테스트	특수 목적용 기계 제조업
1459	241690	KOSDAQ	유니테크노	자동차 신품 부품 제조업
1460	142210	KOSDAQ	유니트론텍	자동차 부품 및 내장품 판매업
1461	048430	KOSDAQ	유라테크	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1462	206650	KOSDAQ	유바이오로직스	의약품 제조업
1463	089850	KOSDAQ	유비벨록스	소프트웨어 개발 및 공급업
1464	032620	KOSDAQ	유비케어	소프트웨어 개발 및 공급업
1465	264450	KOSDAQ	유비쿼스	통신 및 방송 장비 제조업
1466	078070	KOSDAQ	유비쿼스홀딩스	통신 및 방송 장비 제조업
1467	002920	KOSPI	유성기업	자동차 신품 부품 제조업
1468	024800	KOSDAQ	유성티엔에스	육상 여객 운송업
1469	000700	KOSPI	유수홀딩스	회사 본부 및 경영 컨설팅 서비스업
1470	054930	KOSDAQ	유신	"건축기술, 엔지니어링 및 관련 기술 서비스업"
1471	069330	KOSDAQ	유아이디	전자부품 제조업
1472	049520	KOSDAQ	유아이엘	전자부품 제조업
1473	287410	KOSDAQ	유안타제3호스팩	금융 지원 서비스업
1474	313750	KOSDAQ	유안타제4호스팩	금융 지원 서비스업
1475	336060	KOSDAQ	유안타제5호스팩	금융 지원 서비스업
1476	340360	KOSDAQ	유안타제6호스팩	금융 지원 서비스업
1477	367460	KOSDAQ	유안타제7호스팩	금융 지원 서비스업
1478	003470	KOSPI	유안타증권	금융 지원 서비스업
1479	056090	KOSDAQ	유앤아이	의료용 기기 제조업
1480	011690	KOSPI	유양디앤유	반도체 제조업
1481	263770	KOSDAQ	유에스티	1차 철강 제조업
1482	072130	KOSPI	유엔젤	"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
1483	000220	KOSPI	유유제약	의약품 제조업
1484	023410	KOSDAQ	유진기업	"시멘트, 석회, 플라스터 및 그 제품 제조업"
1485	056080	KOSDAQ	유진로봇	특수 목적용 기계 제조업
1486	321260	KOSDAQ	유진스팩4호	금융 지원 서비스업
1487	331380	KOSDAQ	유진스팩5호	금융 지원 서비스업
1488	084370	KOSDAQ	유진테크	특수 목적용 기계 제조업
1489	001200	KOSPI	유진투자증권	금융 지원 서비스업
1490	178780	KOSDAQ	유테크	전자부품 제조업
1491	179900	KOSDAQ	유티아이	전자부품 제조업
1492	263050	KOSDAQ	유틸렉스	기초 의약물질 및 생물학적 제제 제조업
1493	000100	KOSPI	유한양행	의약품 제조업
1494	003460	KOSPI	유화증권	금융 지원 서비스업
1495	191410	KOSDAQ	육일씨엔에쓰	전자부품 제조업
1496	008730	KOSPI	율촌화학	플라스틱제품 제조업
1497	072770	KOSDAQ	율호	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1498	008250	KOSPI	이건산업	나무제품 제조업
1499	039020	KOSDAQ	이건홀딩스	제재 및 목재 가공업
1500	025820	KOSPI	이구산업	1차 비철금속 제조업
1501	060230	KOSDAQ	이그잭스	전자부품 제조업
1502	067920	KOSDAQ	이글루시큐리티	기타 정보 서비스업
1503	044960	KOSDAQ	이글벳	기타 전문 도매업
1504	302430	KOSDAQ	이노메트리	특수 목적용 기계 제조업
1505	214320	KOSPI	이노션	광고업
1506	073490	KOSDAQ	이노와이어리스	통신 및 방송 장비 제조업
1507	086250	KOSDAQ	이노와이즈	특수 목적용 기계 제조업
1508	215790	KOSDAQ	이노인스트루먼트	통신 및 방송 장비 제조업
1509	246960	KOSDAQ	이노테라피	의료용품 및 기타 의약 관련제품 제조업
1510	088390	KOSDAQ	이녹스	그외 기타 운송장비 제조업
1511	272290	KOSDAQ	이녹스첨단소재	전자부품 제조업
1512	053350	KOSDAQ	이니텍	소프트웨어 개발 및 공급업
1513	258610	KOSDAQ	이더블유케이	"구조용 금속제품, 탱크 및 증기발생기 제조업"
1514	215090	KOSDAQ	이디티  측정	", 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1515	041520	KOSDAQ	이라이콤	상품 중개업
1516	264850	KOSDAQ	이랜시스	전자부품 제조업
1517	054210	KOSDAQ	이랜텍	전자부품 제조업
1518	164060	KOSDAQ	이루다	의료용 기기 제조업
1519	065440	KOSDAQ	이루온	소프트웨어 개발 및 공급업
1520	088260	KOSPI	이리츠코크렙	부동산 임대 및 공급업
1521	139480	KOSPI	이마트	종합 소매업
1522	036260	KOSDAQ	이매진아시아	"영화, 비디오물, 방송프로그램 제작 및 배급업"
1523	115610	KOSDAQ	이미지스	반도체 제조업
1524	349720	KOSDAQ	이베스트스팩5호	금융 지원 서비스업
1525	323210	KOSDAQ	이베스트이안스팩1호	금융 지원 서비스업
1526	078020	KOSDAQ	이베스트투자증권	금융 지원 서비스업
1527	080010	KOSDAQ	이상네트웍스	상품 중개업
1528	086890	KOSDAQ	이수앱지스	의료용품 및 기타 의약 관련제품 제조업
1529	007660	KOSPI	이수페타시스	전자부품 제조업
1530	005950	KOSPI	이수화학	기초 화학물질 제조업
1531	015020	KOSPI	이스타코	부동산 임대 및 공급업
1532	047560	KOSDAQ	이스트소프트	소프트웨어 개발 및 공급업
1533	900110	KOSDAQ	이스트아시아홀딩스	기타 금융업
1534	067010	KOSDAQ	이씨에스	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1535	093230	KOSPI	이아이디	기타 전문 도매업
1536	052190	KOSDAQ	이에스에이	창작 및 예술관련 서비스업
1537	226360	KOSDAQ	이엑스티	토목 건설업
1538	101360	KOSDAQ	이엔드디	기타 화학제품 제조업
1539	102710	KOSDAQ	이엔에프테크놀로지	기타 화학제품 제조업
1540	074610	KOSPI	이엔플러스	일반 목적용 기계 제조업
1541	063760	KOSDAQ	이엘피  측정	", 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1542	087730	KOSDAQ	이엠네트웍스	합성고무 및 플라스틱 물질 제조업
1543	123570	KOSDAQ	이엠넷	광고업
1544	083470	KOSDAQ	이엠앤아이	플라스틱제품 제조업
1545	095190	KOSDAQ	이엠코리아	특수 목적용 기계 제조업
1546	091120	KOSDAQ	이엠텍	전자부품 제조업
1547	102460	KOSPI	이연제약	의약품 제조업
1548	039030	KOSDAQ	이오테크닉스	특수 목적용 기계 제조업
1549	294090	KOSDAQ	이오플로우	의료용 기기 제조업
1550	088290	KOSDAQ	이원컴포텍	자동차 신품 부품 제조업
1551	084680	KOSPI	이월드	유원지 및 기타 오락관련 서비스업
1552	181340	KOSDAQ	이즈미디어  측	"정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1553	353810	KOSDAQ	이지바이오	동물용 사료 및 조제식품 제조업
1554	350520	KOSPI	이지스레지던스리츠	부동산 임대 및 공급업
1555	334890	KOSPI	이지스밸류리츠	부동산 임대 및 공급업
1556	090850	KOSDAQ	이지웰	소프트웨어 개발 및 공급업
1557	099750	KOSDAQ	이지케어텍	소프트웨어 개발 및 공급업
1558	035810	KOSDAQ	이지홀딩스	동물용 사료 및 조제식품 제조업
1559	160600	KOSDAQ	이큐셀	특수 목적용 기계 제조업
1560	092130	KOSDAQ	이크레더블	기타 정보 서비스업
1561	096040	KOSDAQ	이트론	기타 전문 도매업
1562	134060	KOSDAQ	이퓨쳐	"서적, 잡지 및 기타 인쇄물 출판업"
1563	001840	KOSDAQ	이화공영	건물 건설업
1564	000760	KOSPI	이화산업	기타 전문 도매업
1565	024810	KOSDAQ	이화전기	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1566	014990	KOSPI	인디에프	봉제의복 제조업
1567	041830	KOSDAQ	인바디	의료용 기기 제조업
1568	352940	KOSDAQ	인바이오	"비료, 농약 및 살균, 살충제 제조업"
1569	101140	KOSPI	인바이오젠	생활용품 도매업
1570	079950	KOSDAQ	인베니아	특수 목적용 기계 제조업
1571	277410	KOSDAQ	인산가	기타 식품 제조업
1572	060150	KOSDAQ	인선이엔티	폐기물 처리업
1573	033230	KOSDAQ	인성정보	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1574	006490	KOSPI	인스코비	전기 통신업
1575	037330	KOSDAQ	인지디스플레	전자부품 제조업
1576	023800	KOSPI	인지컨트롤스	자동차 신품 부품 제조업
1577	034590	KOSPI	인천도시가스	연료용 가스 제조 및 배관공급업
1578	083640	KOSDAQ	인콘	통신 및 방송 장비 제조업
1579	216050	KOSDAQ	인크로스	광고업
1580	049070	KOSDAQ	인탑스	통신 및 방송 장비 제조업
1581	119610	KOSDAQ	인터로조	의료용 기기 제조업
1582	017250	KOSDAQ	인터엠	영상 및 음향기기 제조업
1583	129260	KOSPI	인터지스	도로 화물 운송업
1584	035080	KOSDAQ	인터파크	무점포 소매업
1585	051370	KOSDAQ	인터플렉스	전자부품 제조업
1586	064290	KOSDAQ	인텍플러스	특수 목적용 기계 제조업
1587	189300	KOSDAQ	인텔리안테크	통신 및 방송 장비 제조업
1588	150840	KOSDAQ	인트로메딕	의료용 기기 제조업
1589	048530	KOSDAQ	인트론바이오	기초 의약물질 및 생물학적 제제 제조업
1590	023810	KOSPI	인팩	자동차 신품 부품 제조업
1591	175140	KOSDAQ	인포마크	통신 및 방송 장비 제조업
1592	115310	KOSDAQ	인포바인	전기 통신업
1593	039290	KOSDAQ	인포뱅크	기타 정보 서비스업
1594	041020	KOSDAQ	인프라웨어	소프트웨어 개발 및 공급업
1595	071200	KOSDAQ	인피니트헬스케어	소프트웨어 개발 및 공급업
1596	101930	KOSDAQ	인화정공	선박 및 보트 건조업
1597	249420	KOSPI	일동제약	의약품 제조업
1598	000230	KOSPI	일동홀딩스	의약품 제조업
1599	013360	KOSPI	일성건설	토목 건설업
1600	003120	KOSPI	일성신약	의약품 제조업
1601	068330	KOSDAQ	일신바이오	일반 목적용 기계 제조업
1602	003200	KOSPI	일신방직	방적 및 가공사 제조업
1603	007110	KOSPI	일신석재	"건축자재, 철물 및 난방장치 도매업"
1604	058450	KOSDAQ	일야	통신 및 방송 장비 제조업
1605	007570	KOSPI	일양약품	의약품 제조업
1606	008500	KOSPI	일정실업	편조원단 제조업
1607	019540	KOSDAQ	일지테크	자동차 신품 부품 제조업
1608	081000	KOSPI	일진다이아	기타 화학제품 제조업
1609	020760	KOSPI	일진디스플	반도체 제조업
1610	020150	KOSPI	일진머티리얼즈	전자부품 제조업
1611	103590	KOSPI	일진전기	절연선 및 케이블 제조업
1612	094820	KOSDAQ	일진파워	전기 및 통신 공사업
1613	015860	KOSPI	일진홀딩스	기타 금융업
1614	226320	KOSPI	잇츠한불	기타 화학제품 제조업
1615	950140	KOSDAQ	잉글우드랩	기타 화학제품 제조업
1616	049550	KOSDAQ	잉크테크	기타 화학제품 제조업
1617	254120	KOSDAQ	자비스	특수 목적용 기계 제조업
1618	221610	KOSDAQ	자안	기타 화학제품 제조업
1619	043910	KOSDAQ	자연과환경	환경 정화 및 복원업
1620	234920	KOSDAQ	자이글	가정용 기기 제조업
1621	317400	KOSPI	자이에스앤디	부동산 임대 및 공급업
1622	033240	KOSPI	자화전자	전자부품 제조업
1623	174880	KOSDAQ	장원테크	통신 및 방송 장비 제조업
1624	049630	KOSDAQ	재영솔루텍	사진장비 및 광학기기 제조업
1625	000950	KOSPI	전방	방적 및 가공사 제조업
1626	110020	KOSDAQ	전진바이오팜	기타 화학제품 제조업
1627	065530	KOSDAQ	전파기지국	전기 통신업
1628	208140	KOSDAQ	정다운	"도축, 육류 가공 및 저장 처리업"
1629	022220	KOSDAQ	정산애강	플라스틱제품 제조업
1630	040420	KOSDAQ	정상제이엘에스	일반 교습 학원
1631	045510	KOSDAQ	정원엔시스	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1632	065620	KOSDAQ	제낙스	1차 철강 제조업
1633	217190	KOSDAQ	제너셈	특수 목적용 기계 제조업
1634	095700	KOSDAQ	제넥신	자연과학 및 공학 연구개발업
1635	072520	KOSDAQ	제넨바이오	폐기물 처리업
1636	122310	KOSDAQ	제노레이	의료용 기기 제조업
1637	187420	KOSDAQ	제노포커스	기초 의약물질 및 생물학적 제제 제조업
1638	225220	KOSDAQ	제놀루션	기초 의약물질 및 생물학적 제제 제조업
1639	123330	KOSDAQ	제닉	기타 화학제품 제조업
1640	159580	KOSDAQ	제로투세븐	생활용품 도매업
1641	147830	KOSDAQ	제룡산업	"구조용 금속제품, 탱크 및 증기발생기 제조업"
1642	033100	KOSDAQ	제룡전기	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1643	079370	KOSDAQ	제우스	특수 목적용 기계 제조업
1644	054950	KOSDAQ	제이브이엠	일반 목적용 기계 제조업
1645	090470	KOSDAQ	제이스텍	특수 목적용 기계 제조업
1646	137950	KOSDAQ	제이씨케미칼	기타 화학제품 제조업
1647	033320	KOSDAQ	제이씨현시스템	기계장비 및 관련 물품 도매업
1648	348950	KOSPI	제이알글로벌리츠	부동산 임대 및 공급업
1649	204270	KOSDAQ	제이앤티씨	전자부품 제조업
1650	194370	KOSPI	제이에스코퍼레이션	"가죽, 가방 및 유사제품 제조업"
1651	026040	KOSDAQ	제이에스티나	귀금속 및 장신용품 제조업
1652	126880	KOSDAQ	제이엔케이히터	일반 목적용 기계 제조업
1653	322510	KOSDAQ	제이엘케이	소프트웨어 개발 및 공급업
