       code  ratio  ratio_price
334  065060   1.10         0.95
335  096610   1.10         0.96
336  051380   1.10         0.95
337  078520   1.10         0.98
338  087010   1.10         0.98
339  018620   1.10         0.98
340  002290   1.11         0.96
341  065170   1.11         0.95
342  051780   1.11         0.99
343  114120   1.11         0.96
344  044380   1.11         0.99
345  026940   1.11         0.97
346  070960   1.11         0.98
347  025620   1.11         0.99
348  004000   1.11         0.98
349  163430   1.11         0.97
350  208860   1.11         0.97
351  000300   1.11         0.97
352  002410   1.11         0.97
353  040300   1.11         0.98
354  046210   1.11         0.99
355  238120   1.11         0.96
356  200230   1.11         0.97
357  088260   1.11         0.97
358  023800   1.11         0.99
359  053590   1.11         0.96
360  089850   1.11         0.99
361  064510   1.11         0.99
362  060240   1.11         0.95
363  013000   1.11         0.96
364  049480   1.11         0.96
365  215570   1.11         0.99
366  007280   1.11         0.98
367  172580   1.11         0.99
368  061040   1.11         0.95
369  019540   1.11         0.99
370  013890   1.11         0.97
371  036620   1.11         0.95
372  060370   1.11         0.99
373  086980   1.11         0.99
374  203400   1.11         0.96
375  072870   1.11         0.98
376  002780   1.11         0.99
377  267790   1.11         0.99
378  111710   1.11         0.99
379  080220   1.11         0.99
380  041930   1.11         0.97
381  042510   1.11         0.95
382  011000   1.11         0.96
383  235980   1.11         0.97
384  142280   1.11         0.96
385  092600   1.11         0.96
386  067080   1.11         0.97
387  225330   1.11         0.98
388  057540   1.12         0.98
389  067770   1.12         0.97
390  009680   1.12         0.99
391  001550   1.12         0.97
392  121440   1.12         0.96
393  241590   1.12         0.98
394  214260   1.12         0.95
395  122870   1.12         0.99
396  079170   1.12         0.98
397  003240   1.12         0.96
398  000950   1.12         0.98
399  099440   1.12         0.99
400  032300   1.12         0.97
401  123690   1.12         0.97
402  050120   1.12         0.99
403  081000   1.12         0.99
404  207940   1.12         0.99
405  045300   1.12         0.99
406  060280   1.12         0.98
407  008700   1.12         0.95
408  284620   1.12         0.99
409  189330   1.12         0.98
410  288490   1.12         0.99
411  002760   1.12         0.96
412  118990   1.12         0.96
413  010280   1.12         0.98
414  005360   1.12         0.97
415  215090   1.12         0.96
416  005800   1.12         0.99
417  101170   1.12         0.97
418  013870   1.12         0.96
419  002320   1.12         0.98
420  104620   1.12         0.96
421  068290   1.12         0.96
422  091590   1.12         0.99
423  038390   1.12         0.95
424  144960   1.12         0.99
425  300080   1.12         0.98
426  034230   1.12         0.99
427  086080   1.12         0.97
428  047310   1.12         0.99
429  023590   1.12         0.99
430  025540   1.12         0.96
431  006490   1.12         0.96
432  108380   1.12         0.98
433  006120   1.12         0.99
434  024740   1.13         0.97
435  210980   1.13         0.99
436  050760   1.13         0.97
437  239340   1.13         0.96
438  092780   1.13         0.98
439  001620   1.13         0.97
440  002990   1.13         0.98
441  263810   1.13         0.99
442  018700   1.13         0.98
443  347770   1.13         0.98
444  059090   1.13         0.98
445  089150   1.13         0.96
446  032580   1.13         0.95
447  042040   1.13         0.95
448  104040   1.13         0.95
449  004270   1.13         0.95
450  027050   1.13         0.97
451  005880   1.13         0.99
452  298540   1.13         0.97
453  341310   1.13         0.99
